시군_code,구_code,시군,구
1,41111,수원시,장안구
1,41113,수원시,권선구
1,41115,수원시,팔달구
1,41117,수원시,영통구
2,41461,용인시,처인구
2,41463,용인시,기흥구
2,41465,용인시,수지구
3,41131,성남시,수정구
3,41133,성남시,중원구
3,41135,성남시,분당구
4,41192,부천시,원미구
4,41194,부천시,소사구
4,41196,부천시,오정구
5,41590,화성시,
6,41271,안산시,상록구
6,41273,안산시,단원구
7,41171,안양시,만안구
7,41173,안양시,동안구
8,41220,평택시,
9,41390,시흥시,
10,41570,김포시,
11,41610,광주시,
12,41210,광명시,
13,41410,군포시,
14,41450,하남시,
15,41370,오산시,
16,41500,이천시,
17,41550,안성시,
18,41430,의왕시,
19,41830,양평군,
20,41670,여주시,
21,41290,과천시,
22,41281,고양시,덕양구
22,41285,고양시,일산동구
22,41287,고양시,일산서구
23,41360,남양주시,
24,41480,파주시,
25,41150,의정부시,
26,41630,양주시,
27,41310,구리시,
28,41650,포천시,
29,41250,동두천시,
30,41820,가평군,
31,41800,연천군,
