대분류,중분류,세분류,면적,비고,Univ_SGG1,Univ_SGG2,Univ_Name,AreaFactor,DensityFactor,CapacityFactor,용량(kW),연간발전량(kWh)
건물,경사,NA,588.4038153,NA,고양시,일산동구,동국대학교,16.47,6.6,0.1358,14.68334975,17467.43033
건물,평면,NA,1236.96901,NA,고양시,일산동구,동국대학교,24.14,6.6,0.1358,45.24307864,53821.52829
건물,평면,NA,1290.773349,NA,고양시,일산동구,동국대학교,24.14,6.6,0.1358,47.2110131,56162.59888
건물,평면,NA,1865.731483,NA,고양시,일산동구,동국대학교,24.14,6.6,0.1358,68.24054241,81179.49518
건물,복합,NA,938.7186756,NA,고양시,일산동구,동국대학교,16.47,6.6,0.1358,23.42529786,27866.92174
건물,평면,NA,812.2662528,NA,고양시,일산동구,동국대학교,24.14,6.6,0.1358,29.70925355,35342.3657
건물,평면,NA,1265.748166,NA,광주시,경안로,서울장신대학교,24.14,6.6,0.1188,46.29569808,48179.37744
건물,평면,NA,630.8428862,NA,광주시,경안로,서울장신대학교,24.14,6.6,0.1188,23.07355647,24012.37334
건물,평면,NA,1102.053556,NA,광주시,경안로,서울장신대학교,24.14,6.6,0.1188,40.3084437,41948.51366
건물,평면,NA,342.5823339,NA,광주시,경안로,서울장신대학교,24.14,6.6,0.1188,12.53020839,13040.03751
건물,평면,NA,398.0234703,NA,광주시,경안로,서울장신대학교,24.14,6.6,0.1188,14.55800996,15150.34627
주차장,노외,NA,317.0900693,NA,광주시,경안로,서울장신대학교,50,10,0.1188,15.85450347,16499.5915
주차장,노외,NA,134.509442,NA,광주시,경안로,서울장신대학교,50,10,0.1188,6.725472101,6999.11811
주차장,노외,NA,309.8568333,NA,광주시,경안로,서울장신대학교,50,10,0.1188,15.49284166,16123.21441
주차장,노외,NA,175.4782802,NA,광주시,경안로,서울장신대학교,50,10,0.1188,8.773914008,9130.907021
주차장,노외,NA,32.61663004,NA,광주시,경안로,서울장신대학교,50,10,0.1188,1.630831502,1697.186774
주차장,노외,NA,112.6001313,NA,광주시,경안로,서울장신대학교,50,10,0.1188,5.630006566,5859.080273
주차장,노외,NA,49.06361612,NA,광주시,경안로,서울장신대학교,50,10,0.1188,2.453180806,2552.995826
주차장,노외,NA,214.1610719,NA,광주시,경안로,서울장신대학교,50,10,0.1188,10.70805359,11143.74288
주차장,노외,NA,219.3213532,NA,광주시,경안로,서울장신대학교,50,10,0.1188,10.96606766,11412.25502
주차장,노외,NA,240.7426969,NA,광주시,경안로,서울장신대학교,50,10,0.1188,12.03713484,12526.90179
