id_hh,s11_car_numb,s11_car_a_numb,s11_car_b_numb,s11_car_c_numb,s11_car_1,s11_car_2,s11_car_3,s11_car_a6_r,s11_car_a7,s11_car_a8,s11_car_a10,s11_car_a11,s11_car_a12_r,s11_car_a13_g,s11_car_a15_r,s11_car_a17,s11_car_a20_r,s11_car_a27,s11_car_a28,s11_car_a29,s11_car_a31_r,s11_car_a32,s11_car_a33,s11_car_a34_r,s11_car_a35,s11_car_a36,s11_car_b6_r,s11_car_b7,s11_car_b8,s11_car_b10,s11_car_b11,s11_car_b12_r,s11_car_b13_g,s11_car_b15_r,s11_car_b17,s11_car_b20_r,s11_car_b27,s11_car_b28,s11_car_b29,s11_car_b31_r,s11_car_b32,s11_car_b33,s11_car_b34_r,s11_car_b35,s11_car_b36
HH11110021,1,1,0,0,2,-7,-7,1,2015,6,2015,1,1,2,5,1,11172.20755,30,0,70,11.03368564,4,1,18,1012.554455,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11110022,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11110023,1,1,0,0,2,-7,-7,1,2018,4,2018,1,5,3,5,1,10483.33333,80,10,10,11,4,1,38,953.030303,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210004,1,1,0,0,1,1,-7,1,2020,10,2020,1,1,1,5,1,10684.90538,20,30,50,14,4,1,20,763.2075272,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210007,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210008,1,0,1,0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210009,1,1,0,0,2,-7,-7,1,2010,1,2010,1,3,2,5,1,15000,80,0,20,10.70625,4,1,28,1401.050788,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210010,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210017,1,1,0,0,2,-7,-7,1,2017,4,2017,1,1,3,5,1,11936.46933,70,30,0,9.874528302,3,1,18,1208.814129,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210018,1,1,0,0,2,-7,-7,2,2017,3,2017,1,2,2,5,1,9800,80,10,10,15,4,1,31,653.3333333,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210021,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210024,1,1,0,0,1,1,-7,2,2001,4,2001,1,3,2,5,1,6000,70,0,30,9.828571429,4,1,37,610.4651163,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210026,1,1,0,0,1,1,-7,1,2010,8,2010,1,1,3,5,1,13000,70,10,20,10,4,1,32,1300,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210034,2,1,1,0,1,3,-7,2,2020,9,-8,1,2,3,7,1,12067,70,0,30,7,4,1,30,1723.857143,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210035,1,1,0,0,1,1,-7,1,2009,1,2009,1,1,3,5,1,5000,0,0,100,8,4,1,40,625,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210036,1,1,0,0,2,-7,-7,1,2020,7,-8,2,1,-8,5,1,3000,0,0,100,11.05681818,4,1,26,271.3257965,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210038,1,1,0,0,2,-7,-7,2,2014,1,2014,1,1,1,5,1,10823.44737,0,0,100,11.59,3,2,17,933.8608601,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210039,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210040,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210041,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210048,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210049,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210050,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210051,1,1,0,0,1,1,-7,2,2019,8,2011,2,2,1,5,1,10000,70,20,10,15,4,1,25,666.6666667,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210052,1,1,0,0,1,1,-7,2,2011,1,2011,1,2,2,5,1,8000,60,30,10,15,4,1,27,533.3333333,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210054,1,1,0,0,2,-7,-7,2,2015,3,2015,1,2,3,5,1,3000,80,0,20,11.01176471,3,1,25,272.4358974,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220001,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
