ID_HH,ID_HS,car_numb,car_a_numb,car_b_numb,car_c_numb,car_1,car_2,car_3,car_a6_r,car_a7,car_a8,car_a10,car_a11,car_a12_r,car_a13_g,car_a15_r,car_a17,car_a20_r,car_a27,car_a28,car_a29,car_a31_r,car_a32,car_a33,car_a34_r,car_a35,car_a36,car_b6_r,car_b7,car_b8,car_b10,car_b11,car_b12_r,car_b13_g,car_b15_r,car_b17,car_b20_r,car_b27,car_b28,car_b29,car_b31_r,car_b32,car_b33,car_b34_r,car_b35,car_b36
HH11110021,HS1103000005,1,1,0,0,2,-7,0,1,2015,6,2015,1,1,2,5,1,7000,30,30,40,11,4,1,18,636,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11110022,HS1103000007,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11110023,HS1102000003,1,1,0,0,2,-7,0,1,2018,4,2018,1,5,3,5,1,14000,60,10,30,13,4,1,25,1094,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210004,HS2111000004,1,0,1,0,2,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210007,HS2111000016,1,1,0,0,2,-7,0,1,2014,7,2005,2,1,1,5,1,20133,70,15,15,16,4,1,20,1258,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210008,HS2111000011,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210009,HS2107000014,1,1,0,0,1,1,0,1,2010,1,2010,1,3,2,5,1,10000,80,0,20,10,4,1,30,1000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210010,HS2107000002,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210017,HS2105000091,1,1,0,0,2,-7,0,1,2017,4,2017,1,1,3,5,1,13200,80,0,20,9,3,1,20,1400,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210018,HS2105000011,1,1,0,0,2,-7,0,2,2017,3,2017,1,2,2,5,1,16000,80,15,5,14,4,1,27,1103,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210021,HS2105000020,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210024,HS2105000039,1,1,0,0,2,-7,0,2,2001,4,2001,1,3,2,5,1,10581,70,20,10,10,4,1,35,1086,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210026,HS2110000007,1,1,0,0,1,3,0,1,2010,8,2010,1,1,3,5,1,12580,50,20,30,10,4,1,11,1258,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210034,HS2105010034,1,1,0,0,2,-7,0,1,2014,4,-8,2,1,2,5,1,11952,70,5,25,10,4,1,57,1195,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210035,HS2114000001,1,1,0,0,1,1,0,1,2009,1,2009,1,1,2,5,1,3000,0,0,100,10,4,1,43,300,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210036,HS2114000002,1,1,0,0,2,-7,0,1,2015,11,2015,1,1,1,5,1,8000,80,0,20,12,4,1,26,672,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210038,HS2114000004,1,1,0,0,1,1,0,2,2014,1,2014,1,1,1,5,1,5000,0,0,100,13,3,2,16,385,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210039,HS2114000005,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210040,HS2114000006,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210048,HS2109000003,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210049,HS2109000004,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210050,HS2109000005,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210052,HS2102000001,1,1,0,0,1,1,0,2,2011,1,2011,1,2,2,5,1,8000,80,0,20,12,4,1,21,667,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220001,HS2204000002,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220002,HS2204000003,1,1,0,0,2,-7,0,2,2004,3,2004,1,2,2,5,1,11000,60,0,40,11,4,2,22,979,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220003,HS2204000004,1,1,0,0,2,-7,0,2,2012,2,2012,1,2,2,5,1,16000,70,0,30,11,3,1,21,1423,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220004,HS2204000008,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220005,HS2204000011,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220007,HS2204000013,1,1,0,0,2,-7,0,1,2012,5,2012,1,1,1,5,1,10000,0,0,100,12,4,1,27,840,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220008,HS2204000014,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11220009,HS2204000015,1,0,1,0,2,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
