ID_HH,s12_car_numb,s12_car_a_numb,s12_car_b_numb,s12_car_c_numb,s12_car_1,s12_car_2,s12_car_3,s12_car_a6_r,s12_car_a7,s12_car_a8,s12_car_a10,s12_car_a11,s12_car_a12_r,s12_car_a13_g,s12_car_a15_r,s12_car_a17,s12_car_a20_r,s12_car_a29,s12_car_a30,s12_car_a31,s12_car_a33_r,s12_car_a34,s12_car_a35,s12_car_a36_r,s12_car_a37,s12_car_a38,s12_car_b6_r,s12_car_b7,s12_car_b8,s12_car_b10,s12_car_b11,s12_car_b12_r,s12_car_b13_g,s12_car_b15_r,s12_car_b17,s12_car_b20_r,s12_car_b29,s12_car_b30,s12_car_b31,s12_car_b33_r,s12_car_b34,s12_car_b35,s12_car_b36_r,s12_car_b37,s12_car_b38
HH11110021,1,1,0,0,0,-7,-7,1,2015,6,2015,1,1,2,5,1,11128.7891,30,0,70,10.91584582,4,1,4,1019.507721,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11110022,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11110023,1,1,0,0,1,1,-7,1,2018,4,2018,1,5,3,5,1,7800,70,10,20,13,4,1,4,600,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210004,1,1,0,0,1,1,-7,1,2020,10,2020,1,1,1,5,1,10000,20,30,50,14,4,1,4,714.2857143,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210007,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210008,1,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210009,1,1,0,0,0,-7,-7,1,2010,1,2010,1,3,2,5,1,14455.29851,70,0,30,11.00681818,4,1,4,1313.304015,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210010,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210017,1,1,0,0,0,-7,-7,1,2017,4,2017,1,1,3,5,1,10895.89181,100,0,0,9.978661088,3,1,4,1091.919218,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210018,1,1,0,0,0,-7,-7,2,2017,3,2017,1,2,2,5,1,11396.05,80,15,5,11.30514019,4,1,4,1008.041458,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210021,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH11210024,1,1,0,0,0,-7,-7,2,2001,4,2001,1,3,2,5,1,11554.16667,80,5,15,11.05714286,4,1,4,1044.950474,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
