"","가구ID","광역시도","주택종류","외벽수","주택방향","준공년도","난방기기","난방연료","취사설비","냉방만족도","난방만족도","가구원수","교육정도","출생년도","세후소득","연도","전기소비량","지역난방소비량","도시가스소비량","등유소비량","프로판소비량","기타석유소비량","연탄소비량","기타연료소비량","석유소비량"
"1","HH13110253",11,6,2,3,1992,5,4,2,2,2,5,3,1971,3700,2019,2616.98,0,5422.83,0,0,0,0,0,0
"2","HH14110055",11,4,5,1,1986,5,4,2,2,2,4,2,1965,6700,2019,3022.9,0,7995.33,0,0,0,0,0,0
"3","HH13110254",11,1,5,5,1980,5,4,2,3,3,5,3,1968,45000,2019,4041.14,0,6379.8,0,0,0,0,0,0
"4","HH14110057",11,2,5,5,1989,0,7,2,2,2,1,2,1959,1900,2019,1961.66,0,6040.23,0,0,0,0,0,0
"5","HH17110001",11,1,4,3,2012,22,6,4,3,3,4,3,1983,4200,2019,2388.22,0,0,0,0,0,0,0,0
"6","HH18110236",11,5,4,5,2000,5,4,2,2,1,3,2,1968,380,2019,3036.66,0,8540.7,0,0,0,0,0,0
"7","HH18110119",11,5,4,3,2003,0,7,2,1,1,2,3,1950,2700,2019,2760.6,0,9178.68,0,0,0,0,0,0
"8","HH18110122",11,1,5,5,1997,5,4,3,2,2,4,3,1972,-9,2019,3171.68,0,10454.64,0,0,0,0,0,0
"9","HH19110001",11,1,5,1,1989,5,4,2,3,3,3,1,1946,7400,2019,2801.88,0,7902.72,0,0,0,0,0,0
"10","HH19110002",11,3,4,2,1995,5,4,2,2,2,1,3,1986,2800,2019,2371.88,0,3941.07,0,0,0,0,0,0
"11","HH19110004",11,1,6,1,1972,5,4,2,3,2,2,2,1960,5800,2019,2838,0,11493.93,0,0,0,0,0,0
"12","HH19110005",11,6,4,3,2008,5,4,2,3,3,4,2,1966,3100,2019,3141.58,0,6575.31,0,0,0,0,0,0
"13","HH19110006",11,6,4,5,2008,5,4,2,1,2,2,3,1988,4400,2019,3447.74,0,6884.01,0,0,0,0,0,0
"14","HH19110007",11,6,4,5,2000,5,4,2,2,2,2,2,1949,1900,2019,2811.34,0,7717.5,0,0,0,0,0,0
"15","HH19110008",11,6,4,3,2008,5,4,2,2,2,2,2,1960,5500,2019,3927.62,0,6688.5,0,0,0,0,0,0
"16","HH19110009",11,1,5,6,1996,5,4,2,1,2,6,3,1979,6300,2019,4057.48,0,13304.97,0,0,0,0,0,0
"17","HH19110010",11,1,6,3,1960,5,4,2,2,3,2,2,1945,3800,2019,3186.3,0,9816.66,0,0,0,0,0,0
"18","HH19110011",11,6,4,6,2000,5,4,2,2,2,4,2,1959,6800,2019,2811.34,0,11607.12,0,0,0,0,0,0
"19","HH19110012",11,4,5,6,2002,5,4,2,3,2,4,3,1983,6150,2019,1582.4,0,10701.6,0,0,0,0,0,0
"20","HH13110255",11,1,5,5,1990,5,4,2,1,2,2,1,1955,1800,2019,3099.44,0,9014.04,0,0,0,0,0,0
"21","HH11110023",11,1,6,3,1971,5,4,2,1,1,2,2,1956,6000,2019,3842.48,0,12029.01,0,0,0,0,0,0
"22","HH13110257",11,1,5,5,1971,5,4,2,2,2,2,1,1950,1000,2019,1836.96,0,19571.58,0,0,0,0,0,0
"23","HH18110114",11,6,3,1,2008,5,4,3,1,2,3,3,1954,700,2019,3141.58,0,8478.96,0,0,0,0,0,0
"24","HH19110014",11,1,5,3,1988,5,4,2,2,2,5,1,1934,4500,2019,2576.56,0,12049.59,0,0,0,0,0,0
"25","HH19110015",11,2,4,3,1997,5,4,2,2,2,4,2,1978,4500,2019,3486.44,0,11030.88,0,0,0,0,0,0
"26","HH19110016",11,1,5,5,1994,5,4,2,2,2,2,2,1984,4500,2019,3179.42,0,10290,0,0,0,0,0,0
"27","HH19110017",11,1,4,2,1938,5,4,2,3,2,1,2,1961,2700,2019,1696.78,0,4033.68,0,0,0,0,0,0
"28","HH19110018",11,3,4,6,2002,5,4,2,2,2,1,3,1987,2200,2019,2586.88,0,3848.46,0,0,0,0,0,0
"29","HH19110021",11,2,4,3,1997,5,4,2,2,2,3,2,1962,8500,2019,3090.84,0,11072.04,0,0,0,0,0,0
"30","HH19110022",11,5,3,3,2000,5,4,2,3,3,3,3,1969,4500,2019,3531.16,0,10897.11,0,0,0,0,0,0
"31","HH19110025",11,3,5,3,2000,5,4,2,2,2,2,2,1950,2300,2019,3440,0,6462.12,0,0,0,0,0,0
"32","HH13110233",11,6,4,6,1992,1,5,2,3,3,6,3,1965,5800,2019,3649.84,5492,6390.09,0,0,0,0,0,0
"33","HH11110021",11,1,5,3,1983,5,4,2,3,3,4,2,1960,5800,2019,3645.54,0,5361.09,0,0,0,0,0,0
"34","HH11110022",11,1,5,1,1983,5,4,2,3,3,2,1,1938,1200,2019,3707.46,0,15723.12,0,0,0,0,0,0
"35","HH13110234",11,6,3,5,1999,1,5,2,3,3,4,3,1972,530,2019,4205.4,3464,277.83,0,0,0,0,0,0
"36","HH18110005",11,1,5,6,1992,5,4,4,2,2,4,2,1988,750,2019,3682.52,0,16721.25,0,0,0,0,0,0
"37","HH18110008",11,1,4,3,1988,5,4,2,3,3,2,3,1969,-9,2019,2102.7,0,8159.97,0,0,0,0,0,0
"38","HH18110015",11,1,4,3,1988,5,4,2,3,3,4,2,1955,550,2019,3022.04,0,18192.72,0,0,0,0,0,0
"39","HH18110040",11,2,2,3,1991,5,4,2,3,3,4,1,1937,3200,2019,3836.46,0,8623.02,0,0,0,0,0,0
"40","HH18110202",11,6,2,6,2001,5,4,2,3,3,3,3,1981,4500,2019,1849,0,4702.53,0,0,0,0,0,0
"41","HH19110026",11,6,2,3,1997,5,4,2,2,2,5,3,1956,4600,2019,2790.7,0,10691.31,0,0,0,0,0,0
"42","HH19110027",11,7,3,3,1993,5,4,2,3,3,2,2,1971,2500,2019,2585.16,0,7882.14,0,0,0,0,0,0
"43","HH19110028",11,2,3,3,1995,5,4,2,2,2,4,3,1986,4900,2019,2783.82,0,7511.7,0,0,0,0,0,0
"44","HH19110030",11,5,1,4,2006,5,4,2,3,3,3,2,1963,6500,2019,1935.86,0,6637.05,0,0,0,0,0,0
"45","HH19110032",11,6,4,3,1996,5,4,2,3,3,4,2,1958,7500,2019,2547.32,0,2860.62,0,0,0,0,0,0
"46","HH19110033",11,6,2,3,1999,5,4,2,3,3,4,3,1969,4000,2019,3141.58,0,8715.63,0,0,0,0,0,0
"47","HH19110034",11,6,3,1,1999,5,4,2,3,3,4,2,1958,11000,2019,3141.58,0,9497.67,0,0,0,0,0,0
"48","HH19110035",11,6,2,6,1999,5,4,2,3,3,4,2,1960,6500,2019,3141.58,0,7449.96,0,0,0,0,0,0
"49","HH19110036",11,6,2,3,1999,5,4,2,3,3,4,2,1964,4500,2019,2790.7,0,10454.64,0,0,0,0,0,0
"50","HH19110037",11,6,2,6,1999,5,4,2,3,3,3,2,1959,7800,2019,3141.58,0,4116,0,0,0,0,0,0
"51","HH19110038",11,6,3,1,1997,5,4,2,3,3,6,3,1971,-9,2019,3141.58,0,7666.05,0,0,0,0,0,0
"52","HH19110039",11,6,1,5,1997,5,4,2,3,3,3,1,1954,3200,2019,2790.7,0,5453.7,0,0,0,0,0,0
"53","HH19110040",11,6,3,3,1997,5,4,2,3,3,3,3,1957,-9,2019,3141.58,0,8026.2,0,0,0,0,0,0
"54","HH19110041",11,6,3,3,1997,5,4,2,3,3,4,3,1961,10000,2019,3141.58,0,16412.55,0,0,0,0,0,0
"55","HH19110042",11,6,4,3,1997,5,4,2,3,3,4,3,1973,6800,2019,2790.7,0,5145,0,0,0,0,0,0
"56","HH19110043",11,6,3,1,1997,5,4,3,3,3,4,4,1961,6000,2019,3141.58,0,11751.18,0,0,0,0,0,0
"57","HH19110044",11,6,3,1,1997,5,4,2,3,3,3,3,1966,5000,2019,2790.7,0,8077.65,0,0,0,0,0,0
